"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"128","ASV_143","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"129","ASV_144","Low","9823","Eukaryota","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"130","ASV_146","Low","9720","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina"
"131","ASV_148","High","1003184","Eukaryota","Chordata","Actinopteri","Siluriformes","Loricariidae","Pterygoplichthys","Pterygoplichthys gibbiceps"
"132","ASV_149","Low","39089","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca groenlandica"
"133","ASV_150","Low","27610","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Lagenorhynchus","Lagenorhynchus albirostris"
"134","ASV_151","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"135","ASV_153","Low","138695","Eukaryota","Chordata","Mammalia","Chiroptera","Phyllostomidae","Carollia","Carollia brevicauda"
"136","ASV_154","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"137","ASV_156","Low","9767","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata"
"138","ASV_158","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"139","ASV_159","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"140","ASV_160","Low","9823","Eukaryota","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"141","ASV_161","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"142","ASV_162","Low","9685","Eukaryota","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"143","ASV_163","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"144","ASV_164","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"145","ASV_165","Low","9768","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera borealis"
"146","ASV_166","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"147","ASV_168","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"148","ASV_169","Low","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"149","ASV_175","Low","62698","Eukaryota","Chordata","Mammalia","Carnivora","Odobenidae","Odobenus","Odobenus rosmarus"
"150","ASV_176","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"151","ASV_178","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"152","ASV_181","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"153","ASV_182","Low","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"154","ASV_186","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"155","ASV_188","High","2320858","Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina","Paenisporosarcina cavernae"
"156","ASV_189","Low","1633064","Eukaryota","Chordata","Actinopteri","Siluriformes","Loricariidae","Hypostomus","Hypostomus macushi"
"157","ASV_190","High-MH","None","Eukaryota","Chordata","Actinopteri","Siluriformes","Loricariidae",NA,NA
"158","ASV_191","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"159","ASV_195","Low","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"160","ASV_200","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"161","ASV_201","Low","309913","Eukaryota","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"162","ASV_202","Low","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"163","ASV_206","Low","9742","Eukaryota","Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoena","Phocoena phocoena"
"164","ASV_209","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"165","ASV_215","High","1699505","Eukaryota","Chordata","Actinopteri","Characiformes","Anostomidae","Laemolyta","Laemolyta proxima"
"166","ASV_221","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"167","ASV_223","None","None",NA,NA,NA,NA,NA,NA,NA
"168","ASV_230","None","None",NA,NA,NA,NA,NA,NA,NA
"169","ASV_243","Low","2268204","Archaea","Candidatus Thermoplasmatota","Thermoplasmata","Thermoplasmatales","","","Thermoplasmatales archaeon"
"170","ASV_301","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"171","ASV_302","High-MH","None","Eukaryota","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus",NA
"172","ASV_303","Low","9742","Eukaryota","Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoena","Phocoena phocoena"
"173","ASV_304","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"174","ASV_305","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"175","ASV_306","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"176","ASV_307","Low","58085","Eukaryota","Chordata","Mammalia","Chiroptera","Pteropodidae","Syconycteris","Syconycteris australis"
"177","ASV_309","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"178","ASV_310","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"179","ASV_311","Low","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"180","ASV_312","Low","9612","Eukaryota","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"181","ASV_314","High","27610","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Lagenorhynchus","Lagenorhynchus albirostris"
"182","ASV_315","Low","111789","","","","","","","eukaryotic synthetic construct"
"183","ASV_316","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"184","ASV_317","Low","283924","Eukaryota","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus tolai"
"185","ASV_318","Low","75014","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus xanthopterus"
"186","ASV_319","Low","283924","Eukaryota","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus tolai"
"187","ASV_320","High-MH","None","Eukaryota","Chordata","Mammalia","Artiodactyla","Suidae","Sus",NA
"188","ASV_321","Low","9767","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata"
"189","ASV_322","Low","39089","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca groenlandica"
"190","ASV_323","Low","47230","Eukaryota","Chordata","Mammalia","Rodentia","Cricetidae","Microtus","Microtus arvalis"
"191","ASV_327","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"192","ASV_329","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"193","ASV_330","Low","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"194","ASV_331","Low","75014","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus xanthopterus"
"195","ASV_332","Low","75014","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus xanthopterus"
"196","ASV_335","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"197","ASV_336","Low","9720","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina"
"198","ASV_338","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"199","ASV_339","Low","9823","Eukaryota","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"200","ASV_343","Low","9733","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Orcinus","Orcinus orca"
"201","ASV_344","Low","9770","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera physalus"
"202","ASV_345","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"203","ASV_346","High","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"204","ASV_347","Low","9720","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina"
"205","ASV_348","Low","75014","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus xanthopterus"
"206","ASV_349","Low","75014","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus xanthopterus"
"207","ASV_350","Low","10090","Eukaryota","Chordata","Mammalia","Rodentia","Muridae","Mus","Mus musculus"
"208","ASV_351","Low","75014","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus xanthopterus"
"209","ASV_353","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"210","ASV_354","High","39089","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca groenlandica"
"211","ASV_356","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"212","ASV_357","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"213","ASV_358","Low","9767","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata"
"214","ASV_359","Low","75014","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus xanthopterus"
"215","ASV_360","Low","9720","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina"
"216","ASV_361","Low","9720","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina"
"217","ASV_362","Low","9770","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera physalus"
"218","ASV_363","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"219","ASV_364","Low","111789","","","","","","","eukaryotic synthetic construct"
"220","ASV_365","Low","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"221","ASV_367","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"222","ASV_368","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"223","ASV_369","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"224","ASV_370","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
