ID,Site,Excavation,Context,Species,%C ,C,%N ,N,C/N ratio,Century,Dating,MiddleDate,Source
85082,BRV,19,13,cod,32.9,-12.4,11.8,13.8,3.26,19,14C (1880±27),1880,https://www.nature.com/articles/s41598-021-92243-146
85083,BRV,19,13,wolffish,29.7,-13.1,10.6,12,3.27,19,14C (1880±27),1880,https://www.nature.com/articles/s41598-021-92243-147
85086,BRV,19,13,wolffish,38.1,-12,14.3,11.4,3.11,19,14C (1880±27),1880,https://www.nature.com/articles/s41598-021-92243-148
85087,BRV,19,13,wolffish,36.2,-12,13.7,11.7,3.09,19,14C (1880±27),1880,https://www.nature.com/articles/s41598-021-92243-149
85108,BRV,19,14,wolffish,34.3,-12.5,12.2,13,3.28,17,Context (~1650),1650,https://www.nature.com/articles/s41598-021-92243-150
85109,BRV,19,14,wolffish,36.5,-12.6,13.6,11.8,3.14,17,Context (~1650),1650,https://www.nature.com/articles/s41598-021-92243-151
85110,BRV,19,14,wolffish,30.1,-13.5,10.1,12.5,3.48,17,Context (~1650),1650,https://www.nature.com/articles/s41598-021-92243-152
85111,BRV,19,14,wolffish,28.3,-13,9.8,12.4,3.37,17,Context (~1650),1650,https://www.nature.com/articles/s41598-021-92243-153
85112,BRV,19,14,wolffish,33.9,-13.3,11.7,12.8,3.39,17,Context (~1650),1650,https://www.nature.com/articles/s41598-021-92243-154
85113,BRV,19,14,wolffish,30.9,-13.5,10.8,12.4,3.34,17,Context (~1650),1650,https://www.nature.com/articles/s41598-021-92243-155
85114,BRV,19,15,cod,35.5,-11.6,13.2,14.3,3.14,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-156
85115,BRV,19,15,cod,33.6,-10.9,12.5,13.7,3.13,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-157
85117,BRV,19,15,cod,27.1,-11.3,10,13,3.18,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-158
85120,BRV,19,15,cod,35.7,-12.1,13.2,13.9,3.16,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-159
85121,BRV,19,15,cod,35.3,-11.2,13.2,13.4,3.13,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-160
85122,BRV,19,15,cod,34.2,-12.1,12.8,12.5,3.12,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-161
85123,BRV,19,15,wolffish,27.9,-13.5,10.1,12.1,3.23,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-162
85124,BRV,19,15,wolffish,27.6,-12.4,10.4,10.8,3.11,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-163
85126,BRV,19,15,wolffish,39.9,-13.3,14.3,11.8,3.27,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-164
85127,BRV,19,15,haddock,29.6,-12.2,11,12.3,3.15,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-165
85128,BRV,19,15,haddock,32.6,-13.3,12.2,12.2,3.13,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-166
85133,BRV,19,13,wolffish,28.6,-13.7,10.3,12,3.26,19,14C (1880±27),1880,https://www.nature.com/articles/s41598-021-92243-167
86037,ISA,NA,NA,wolffish,42.3,-14.21,13.6,11.8,3.12,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-168
86038,ISA,NA,NA,wolffish,42.1,-12.71,15.5,11.9,2.71,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-169
86040,ISA,NA,NA,wolffish,42,-12.71,15.3,12,2.75,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-170
86041,ISA,NA,NA,wolffish,41.5,-11.71,14.8,12.2,2.79,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-171
86042,ISA,NA,NA,wolffish,42.3,-12.91,15.2,11.2,2.78,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-172
86043,ISA,NA,NA,wolffish,41.8,-13.41,13.8,12.2,3.03,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-173
86044,ISA,NA,NA,wolffish,40.2,-14.51,12.7,12.5,3.16,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-174
86045,ISA,NA,NA,wolffish,42.7,-14.51,13.1,12.5,3.26,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-175
86046,ISA,NA,NA,wolffish,42.3,-14.71,12.7,12.7,3.33,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-176
86067,ISA,NA,NA,wolffish,45.3,-12.91,15.3,12,2.95,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-177
86070,ISA,NA,NA,wolffish,42.5,-14.21,13.2,12.4,3.22,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-178
86071,ISA,NA,NA,wolffish,42.7,-14.11,13.5,12,3.16,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-179
86072,ISA,NA,NA,wolffish,43.3,-11.21,16.2,11.9,2.68,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-180
86073,ISA,NA,NA,wolffish,43.1,-13.31,14.4,11.7,3,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-181
86074,ISA,NA,NA,wolffish,44.9,-14.11,13.7,12.6,3.28,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-182
86075,ISA,NA,NA,wolffish,43.8,-14.41,13.4,12.1,3.27,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-183
86078,ISA,NA,NA,cod,42.3,-15.81,12.4,12.6,3.42,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-184
86079,ISA,NA,NA,cod,44.4,-15.61,12.8,12.8,3.46,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-185
86080,ISA,NA,NA,cod,42.7,-14.61,13,13.2,3.29,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-186
86087,ISA,NA,NA,cod,42.6,-14.61,14.6,11.6,2.93,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-187
86088,ISA,NA,NA,cod,43.8,-15.31,14,12.9,3.13,21,2021,2021,https://www.nature.com/articles/s41598-021-92243-188
