"","Sample","Core","Date_bp_mean","Date_CE_mean","year","d13C.GAM.fit","d13C.GAM.fit.se","d13C.GAM.fit.uppCI","d13C.GAM.fit.lwrCI","d13C.100yrspline","year","d18O.GAM.fit","d18O.GAM.fit.se","d18O.GAM.fit.uppCI","d18O.GAM.fit.lwrCI","d18O.100yrspline","year","SeaIceIndex.GAM.fit","SeaIceIndex.GAM.fit.se","SeaIceIndex.GAM.fit.uppCI","SeaIceIndex.GAM.fit.lwrCI","SeaIceIndex.100yrspline","yearCE","yearBP","MD99-2275sstAlkenone.GAM.fit","MD99-2275sstAlkenone.GAM.fit.se","MD99-2275sstAlkenone.GAM.fit.uppCI","MD99-2275sstAlkenone.GAM.fit.lwrCI","MD99-2275sstAlkenone.100yrspline","yearCE","yearBP","MD99-2275sstDiatom.GAM.fit","MD99-2275sstDiatom.GAM.fit.se","MD99-2275sstDiatom.GAM.fit.uppCI","MD99-2275sstDiatom.GAM.fit.lwrCI","MD99-2275sstDiatom.100yrspline"
"118","PC019-145","PC019",829,1121,1121,2.19248591540535,0.0448049321582171,2.28030358243545,2.10466824837524,2.16319954395593,1121,3.59122142731347,0.0410440643431538,3.67166779342605,3.51077506120089,3.64376214528203,NA,NA,NA,NA,NA,NA,1121,829,8.93386370021397,0.142662758657098,9.21348270718188,8.65424469324606,8.51126952692439,1121,829,7.38259805403745,0.0573940724034544,7.49509043594822,7.27010567212668,7.4007376333934
"119","PC019-147","PC019",839,1111,1111,2.14060401567797,0.0443579686175457,2.22754563416836,2.05366239718758,2.06977720384223,1111,3.58815218797513,0.0407276118246013,3.66797830715135,3.50832606879891,3.64862329097311,NA,NA,NA,NA,NA,NA,1111,839,8.95860038185676,0.142990687644889,9.23886212964074,8.67833863407278,8.5116247372715,1111,839,7.39148611842119,0.057698517019004,7.50457521177844,7.27839702506394,7.40723687184041
"120","PC019-149","PC019",848,1102,1102,2.01788911699897,0.0449145201798503,2.10592157655148,1.92985665744647,1.96795214394059,1102,3.63902768461864,0.0411234828729542,3.71962971104963,3.55842565818765,3.66012425209525,NA,NA,NA,NA,NA,NA,1102,848,8.98142924354627,0.142790844455829,9.26129929867969,8.70155918841284,8.51138376291494,1102,848,7.39933726353496,0.0579799094626139,7.51297788608168,7.28569664098824,7.4129856026601
"121","PC019-151","PC019",858,1092,1092,1.81412490744447,0.0442772731932389,1.90090836290322,1.72734145198572,1.85492002833265,1092,3.72390228159839,0.0406685842769909,3.80361270678129,3.64419185641549,3.66777526496586,NA,NA,NA,NA,NA,NA,1092,858,9.00548363076347,0.14201149881459,9.28382616844006,8.72714109308687,8.51029080525298,1092,858,7.40789604282971,0.0583005821567159,7.52216518385688,7.29362690180255,7.41929388318571
"122","PC019-153","PC019",868,1082,1082,1.65777478405058,0.0449412645134977,1.74585966249703,1.56968990560412,1.77025867459524,1082,3.75769293137198,0.0411437333275452,3.83833464869396,3.67705121404999,3.65079798415123,NA,NA,NA,NA,NA,NA,1082,868,9.02584318242124,0.140837554576201,9.3018847893906,8.74980157545189,8.50854490210282,1082,868,7.41628136064299,0.0586303834827534,7.53119691226919,7.30136580901679,7.4253364803783
"123","PC019-155","PC019",878,1072,1072,1.64151416804704,0.0442752097638173,1.72829357918412,1.55473475690995,1.73260947657929,1072,3.67641386850153,0.0406655606252384,3.75611836732699,3.59670936967606,3.6020843027322,NA,NA,NA,NA,NA,NA,1072,878,9.04003688598906,0.139607103984655,9.31366680979898,8.76640696217914,8.50583360409906,1072,878,7.42449324784137,0.0589703900709346,7.5400752123804,7.30891128330234,7.43144988510113
"124","PC019-157","PC019",888,1062,1062,1.72680642509119,0.0449173075049644,1.81484434780092,1.63876850238146,1.74362411171125,1062,3.51082127338098,0.0411284720093014,3.59143307851921,3.43020946824275,3.53451798558659,NA,NA,NA,NA,NA,NA,1062,888,9.04574047962791,0.138687591091143,9.31756815816655,8.77391280108927,8.50225897920604,1062,888,7.43253197773537,0.0593213540850979,7.54880183174216,7.31626212372857,7.43780970123898
"125","PC019-159","PC019",898,1052,1052,1.81252896957212,0.0443323874518321,1.89942044897771,1.72563749016653,1.79418965467124,1052,3.37276462495533,0.0407037873602855,3.45254404818149,3.29298520172917,3.47185395559448,NA,NA,NA,NA,NA,NA,1052,898,9.0409771142364,0.138344416396175,9.3121321703729,8.76982205809989,8.49758006878449,1052,898,7.44039830330215,0.0596828802493056,7.55737674859079,7.32341985801351,7.44399273858795
"126","PC019-161","PC019",907,1043,1043,1.86160816169293,0.0446860381405404,1.94919279644839,1.77402352693747,1.86186745252158,1043,3.34620870140025,0.0409669797478014,3.42650398170594,3.26591342109456,3.43789562239017,NA,NA,NA,NA,NA,NA,1043,907,9.02653785362729,0.138596539550585,9.29818707114643,8.75488863610814,8.4923119106916,1043,907,7.44733184378711,0.0600163003166231,7.56496379240769,7.32969989516653,7.44938690544585
"127","PC019-163","PC019",917,1033,1033,1.92749084252892,0.0446310205684544,2.01496764284309,1.84001404221475,1.95140795092138,1033,3.41076912286342,0.0409122231743381,3.49095708028512,3.33058116544171,3.4297703999273,NA,NA,NA,NA,NA,NA,1033,917,8.99844987168338,0.139386752562178,9.27164790670525,8.72525183666151,8.48594272911853,1033,917,7.45487576089266,0.0603944241013439,7.57324883213129,7.33650268965402,7.45490340096098
