"","SenseDemultiplex","SenseStripped","AntiSenseDemultiplex","AntSenseStripped"
"EUK.PC019-271_5_4-5.S",51840,50977,60938,59703
"EUK.PC019-271_6_4-6.S",103150,101117,104470,102289
"EUK.PC019-271_7_4-7.S",36647,35975,40020,39313
"EUK.PC019-271_8_4-8.S",121981,119613,149081,145825
"EUK.PC019-273_1_4-1.S",32706,32072,39292,38488
"EUK.PC019-273_2_4-2.S",46148,45200,47278,46275
"EUK.PC019-273_3_4-3.S",42904,41870,46334,45069
"EUK.PC019-273_4_4-4.S",34314,33563,37126,36301
"EUK.PC019-273_5_4-5.S",110598,107708,115960,112836
"EUK.PC019-273_6_4-6.S",49476,48366,52870,51483
"EUK.PC019-273_7_4-7.S",42548,41564,47308,46144
"EUK.PC019-273_8_4-8.S",100817,98412,107876,105365
"EUK.PC019-275_1_4-1.S",83430,81993,92022,90134
"EUK.PC019-275_2_4-2.S",56327,55173,62328,61109
"EUK.PC019-275_3_4-3.S",78856,77450,79927,78376
"EUK.PC019-275_4_4-4.S",47359,46399,54196,53044
"EUK.PC019-275_5_4-5.S",95386,94066,101183,99693
"EUK.PC019-275_6_4-6.S",61994,60868,62136,60986
"EUK.PC019-275_7_4-7.S",36080,35614,38768,38199
"EUK.PC019-275_8_4-8.S",45958,45030,54022,52898
"EUK.PC019-440_1_4-1.S",57210,56251,60688,59579
"EUK.PC019-440_2_4-2.S",50794,49918,58293,57386
"EUK.PC019-440_3_4-3.S",50899,50131,53524,52458
"EUK.PC019-440_4_4-4.S",58702,57508,62353,61008
"EUK.PC019-440_5_4-5.S",80563,79497,76422,75370
"EUK.PC019-440_6_4-6.S",39755,38963,42687,41724
"EUK.PC019-440_7_4-7.S",42357,41730,42091,41348
"EUK.PC019-440_8_4-8.S",53075,52245,53163,52313
"EUK.PC019-441_1_4-1.S",82884,81408,88590,86782
"EUK.PC019-441_2_4-2.S",44933,44220,47046,46132
"EUK.PC019-441_3_4-3.S",54590,53743,53995,53005
"EUK.PC019-441_4_4-4.S",58346,57445,55764,54802
"EUK.PC019-441_5_4-5.S",151628,150050,156228,154201
"EUK.PC019-441_6_4-6.S",54731,53652,61790,60488
"EUK.PC019-441_7_4-7.S",44876,44179,50654,49949
"EUK.PC019-441_8_4-8.S",60911,60058,63347,62219
"EUK.PC019-442_1_4-1.S",52288,51457,56519,55538
"EUK.PC019-442_2_4-2.S",65802,64887,64687,63629
"EUK.PC019-442_3_4-3.S",57360,56046,67152,65634
"EUK.PC019-442_4_4-4.S",37422,36680,43304,42408
"EUK.PC019-442_5_4-5.S",50706,49946,56769,55846
"EUK.PC019-442_6_4-6.S",96463,94812,105996,103619
"EUK.PC019-442_7_4-7.S",51310,50456,52252,51331
"EUK.PC019-442_8_4-8.S",132234,130110,136940,134403
"EUK.PC019-443_1_5-1.S",119055,116378,141711,138466
"EUK.PC019-443_2_5-2.S",84536,83279,98588,96851
"EUK.PC019-443_3_5-3.S",240827,236283,244056,238825
"EUK.PC019-443_4_5-4.S",119245,116052,121445,117742
"EUK.PC019-443_5_5-5.S",88491,86553,94305,92037
"EUK.PC019-443_6_5-6.S",85328,83943,77100,75888
"EUK.PC019-443_7_5-7.S",128014,126054,122820,120891
"EUK.PC019-443_8_5-8.S",54536,53551,60155,59270
"EUK.PC019-444_1_5-1.S",148327,144550,161387,156914
"EUK.PC019-444_2_5-2.S",39964,39467,47681,46996
"EUK.PC019-444_3_5-3.S",116486,114343,121969,119671
"EUK.PC019-444_4_5-4.S",128939,127098,134799,132198
"EUK.PC019-444_5_5-5.S",130126,127973,137614,135238
"EUK.PC019-444_6_5-6.S",7049,6902,6936,6813
"EUK.PC019-444_7_5-7.S",98751,97601,108303,106628
"EUK.PC019-444_8_5-8.S",318470,315011,351516,346914
"EUK.PC019-445_1_5-1.S",163268,160568,187367,183923
"EUK.PC019-445_2_5-2.S",83912,82851,94554,93077
"EUK.PC019-445_3_5-3.S",44023,43194,51093,50229
"EUK.PC019-445_4_5-4.S",225812,222299,228312,224580
"EUK.PC019-445_5_5-5.S",198009,195023,214766,211240
"EUK.PC019-445_6_5-6.S",125882,123830,142896,140456
"EUK.PC019-445_7_5-7.S",112329,110664,122424,120513
"EUK.PC019-445_8_5-8.S",228919,226434,227311,224508
"EUK.PC019-446_1_5-1.S",257833,253496,251346,246620
"EUK.PC019-446_2_5-2.S",68888,67777,72025,70734
"EUK.PC019-446_3_5-3.S",122609,120153,150750,147975
"EUK.PC019-446_4_5-4.S",129247,127051,134444,131785
"EUK.PC019-446_5_5-5.S",194935,191463,207852,203810
"EUK.PC019-446_6_5-6.S",141795,139857,148232,145830
"EUK.PC019-446_7_5-7.S",165153,162345,189842,185878
"EUK.PC019-446_8_5-8.S",149162,146962,146219,143572
"EUK.PC019-447_1_5-1.S",132510,130648,137968,135459
"EUK.PC019-447_2_5-2.S",54526,53533,65073,63663
"EUK.PC019-447_3_5-3.S",29857,29259,28855,28309
"EUK.PC019-447_4_5-4.S",85832,84223,85028,83282
"EUK.PC019-447_5_5-5.S",0,0,2,2
"EUK.PC019-447_6_5-6.S",136086,133745,129173,126831
"EUK.PC019-447_7_5-7.S",90078,88323,97046,94994
"EUK.PC019-447_8_5-8.S",201650,197800,218891,215493
"EUK.PC019-448_1_5-1.S",72451,70910,71232,69498
"EUK.PC019-448_2_5-2.S",75711,74813,77783,76553
"EUK.PC019-448_3_5-3.S",204842,201860,243348,239072
"EUK.PC019-448_4_5-4.S",205590,201424,218659,214100
"EUK.PC019-448_5_5-5.S",114429,112507,132820,130621
"EUK.PC019-448_6_5-6.S",119756,116520,126955,123582
"EUK.PC019-448_7_5-7.S",161844,159502,198040,194653
"EUK.PC019-448_8_5-8.S",105727,104052,104938,103231
"EUK.PC019-449_1_5-1.S",141939,139326,141656,139160
"EUK.PC019-449_2_5-2.S",101236,99376,98972,97095
"EUK.PC019-449_3_5-3.S",90142,87998,99969,97674
"EUK.PC019-449_4_5-4.S",247638,242246,301176,294229
"EUK.PC019-449_5_5-5.S",220009,216506,232313,228133
"EUK.PC019-449_6_5-6.S",171614,168040,196315,192172
"EUK.PC019-449_7_5-7.S",257678,253633,339831,333406
"EUK.PC019-449_8_5-8.S",198637,195556,196464,193119
"EUK.PC019-450_1_5-1.S",93984,91840,102043,99446
"EUK.PC019-450_2_5-2.S",104286,102294,122660,120281
"EUK.PC019-450_3_5-3.S",232170,228064,286502,280294
"EUK.PC019-450_4_5-4.S",232951,228672,236215,231192
"EUK.PC019-450_5_5-5.S",124772,121937,123444,120522
"EUK.PC019-450_6_5-6.S",162730,160356,170425,167675
"EUK.PC019-450_7_5-7.S",253910,249866,238823,235154
"EUK.PC019-450_8_5-8.S",407820,401667,395523,389641
"EUK.PC019-451_1_5-1.S",116693,114500,126356,123783
"EUK.PC019-451_2_5-2.S",83999,82014,91394,89024
"EUK.PC019-451_3_5-3.S",133977,131983,166318,163454
"EUK.PC019-451_4_5-4.S",107200,105379,110043,108027
"EUK.PC019-451_5_5-5.S",108065,106606,119585,117723
"EUK.PC019-451_6_5-6.S",86209,84853,102811,101090
"EUK.PC019-451_7_5-7.S",30644,29979,32403,31620
"EUK.PC019-451_8_5-8.S",190900,188841,199105,196315
"EUK.PC019-452_1_5-1.S",129068,126495,148522,145370
"EUK.PC019-452_2_5-2.S",69497,68454,78880,77584
"EUK.PC019-452_3_5-3.S",175784,172674,202799,198290
"EUK.PC019-452_4_5-4.S",104949,102780,118870,116436
"EUK.PC019-452_5_5-5.S",216652,213142,219715,215814
"EUK.PC019-452_6_5-6.S",108481,106398,110725,108466
"EUK.PC019-452_7_5-7.S",153441,150853,199106,195427
"EUK.PC019-452_8_5-8.S",187290,184301,187626,184791
"EUK.PC019-453_1_5-1.S",184402,180932,207487,203235
"EUK.PC019-453_2_5-2.S",170947,168518,172196,169541
"EUK.PC019-453_3_5-3.S",180580,176750,196907,192590
"EUK.PC019-453_4_5-4.S",119667,117539,136614,134186
"EUK.PC019-453_5_5-5.S",129783,127729,134425,131958
"EUK.PC019-453_6_5-6.S",137434,135332,136747,134715
"EUK.PC019-453_7_5-7.S",240991,237716,266768,262288
"EUK.PC019-453_8_5-8.S",273401,269410,304365,299307
