"","SenseDemultiplex","SenseStripped","AntiSenseDemultiplex","AntSenseStripped"
"EUK.IS-GC1-084-5-3.5.S",53834,52397,53261,51870
"EUK.IS-GC1-084-6-3.6.S",49490,47786,50080,48604
"EUK.IS-GC1-084-7-3.7.S",23428,22570,25717,24852
"EUK.IS-GC1-084-8-3.8.S",68886,66578,65385,63144
"EUK.IS-GC1-088-1-1.1.S",77753,75811,74063,72322
"EUK.IS-GC1-088-2-1.2.S",144857,142157,154073,151235
"EUK.IS-GC1-088-3-1.3.S",62374,60651,67252,65407
"EUK.IS-GC1-088-4-1.4.S",55585,53850,54725,53044
"EUK.IS-GC1-088-5-1.5.S",81665,79173,81564,79244
"EUK.IS-GC1-088-6-1.6.S",52305,50746,55677,54109
"EUK.IS-GC1-088-7-1.7.S",108565,105355,113069,110063
"EUK.IS-GC1-088-8-1.8.S",50485,49052,53772,52354
"EUK.IS-GC1-092-1-3.1.S",68819,66364,71688,69336
"EUK.IS-GC1-092-2-3.2.S",5329,4985,6449,6081
"EUK.IS-GC1-092-3-3.3.S",13605,13090,13562,13077
"EUK.IS-GC1-092-4-3.4.S",74153,72042,79532,77273
"EUK.IS-GC1-092-5-3.5.S",90416,87917,98823,96434
"EUK.IS-GC1-092-6-3.6.S",52045,50438,55674,53992
"EUK.IS-GC1-092-7-3.7.S",9471,8923,10548,10072
"EUK.IS-GC1-092-8-3.8.S",61152,57838,60701,57717
"EUK.IS-GC1-096-1-1.1.S",106363,102447,115050,111595
"EUK.IS-GC1-096-2-1.2.S",95684,93735,112035,109819
"EUK.IS-GC1-096-3-1.3.S",72090,70522,76675,75243
"EUK.IS-GC1-096-4-1.4.S",84583,82840,87885,86170
"EUK.IS-GC1-096-5-1.5.S",82470,80211,90916,88799
"EUK.IS-GC1-096-6-1.6.S",26165,25221,28608,27655
"EUK.IS-GC1-096-7-1.7.S",113678,110349,120208,116862
"EUK.IS-GC1-096-8-1.8.S",91997,90032,99816,97551
"EUK.IS-GC1-100-1-3.1.S",98600,95361,117762,114417
"EUK.IS-GC1-100-2-3.2.S",61006,56077,57854,53494
"EUK.IS-GC1-100-3-3.3.S",64234,62347,81845,79828
"EUK.IS-GC1-100-4-3.4.S",117584,114406,125482,122419
"EUK.IS-GC1-100-5-3.5.S",66092,63377,74569,71969
"EUK.IS-GC1-100-6-3.6.S",74907,71584,73557,70581
"EUK.IS-GC1-100-7-3.7.S",10181,9555,12022,11437
"EUK.IS-GC1-100-8-3.8.S",83141,79730,92019,88399
"EUK.IS-GC1-104-1-1.1.S",53823,50876,52531,49918
"EUK.IS-GC1-104-2-1.2.S",86353,83074,94041,91070
"EUK.IS-GC1-104-3-1.3.S",65910,62339,78103,75078
"EUK.IS-GC1-104-4-1.4.S",132343,127677,151732,146656
"EUK.IS-GC1-104-5-1.5.S",173579,166198,178161,171169
"EUK.IS-GC1-104-6-1.6.S",41704,38360,47579,44491
"EUK.IS-GC1-104-7-1.7.S",98335,92642,101088,96022
